"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2020","AQS","250092006","1","0.03","ppm","28","LYNN WATER TREATMENT PLANT","17","100.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"01/02/2020","AQS","250092006","1","0.031","ppm","29","LYNN WATER TREATMENT PLANT","17","100.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"01/03/2020","AQS","250092006","1","0.015","ppm","14","LYNN WATER TREATMENT PLANT","17","100.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"01/04/2020","AQS","250092006","1","0.028","ppm","26","LYNN WATER TREATMENT PLANT","17","100.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"01/05/2020","AQS","250092006","1","0.038","ppm","35","LYNN WATER TREATMENT PLANT","17","100.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"01/06/2020","AQS","250092006","1","0.024","ppm","22","LYNN WATER TREATMENT PLANT","17","100.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"01/07/2020","AQS","250092006","1","0.034","ppm","31","LYNN WATER TREATMENT PLANT","17","100.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"01/08/2020","AQS","250092006","1","0.036","ppm","33","LYNN WATER TREATMENT PLANT","17","100.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"01/09/2020","AQS","250092006","1","0.031","ppm","29","LYNN WATER TREATMENT PLANT","17","100.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"01/10/2020","AQS","250092006","1","0.03","ppm","28","LYNN WATER TREATMENT PLANT","17","100.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
